Titulo,Estreno,Duracion,Ventas,Genero
 Ella Lola,6/30/2021,184,8642,Comedia 
 In Search of the Ravishing Princess Herzelinde,10/09/2019,65,499,Comedia 
 The Brandon Teena Story,3/23/2021,181,9973,Crimen
 The Silent Scream,08/10/2019,207,5687,Terror
 The Tattooed Widow,9/19/2018,110,1880,Crimen
 The Year of Living Vicariously,02/12/2019,108,6136,Comedia 
 Z Men,11/04/2021,61,5668,Terror
 Zombie 2: The Dead Are Among Us,03/09/2019,181,4410,Terror
[REC],9/22/2019,95,1974,Terror
[REC] 4: Apocalypse,6/14/2021,204,3020,Terror
¿Quien mato a santa?,2/22/2021,153,1700,Comedia 
10 cosas que odio de ti ,09/09/2019,102,6577,Comedia 
10 dias de un mal hombre,10/24/2021,104,6492,Comedia 
10 lives,10/07/2023,169,2337,Comedia 
101 Dalmatas,4/22/2023,117,4610,Comedia 
11 x 14,10/19/2020,63,8699,Comedia 
12 Angry Men,02/04/2019,125,331,Documental
1939: Hollywood's Greatest Year,9/13/2019,155,9784,Documental
"20,000 Days on Earth",2/13/2019,191,5908,Documental
21 Up,11/14/2019,112,3586,Documental
28 Up,03/02/2019,184,5054,Documental
3 Extremes ,12/13/2019,157,5731,Terror
3 Ring Circus,03/03/2021,169,4199,Comedia 
3 Strikes,12/07/2022,153,171,Comedia 
30 Days of Night,10/04/2020,159,6591,Terror
3rd World Hero ,06/08/2019,88,8633,Documental
42nd Street,02/04/2023,190,6859,Comedia 
44500 Max,06/02/2020,186,1663,Documental
5 Broken Cameras,1/27/2022,153,8457,Documental
5 Dolls for an August Moon ,3/20/2023,137,8666,Terror
500 dias juntos,03/06/2009,134,8734,Comedia 
7 Below,4/14/2021,191,2388,Terror
7th Cavalry,11/19/2018,191,7926,Western
A Bug's Life,01/09/2019,190,7317,Aventura
A Casa,11/06/2018,86,5440,Documental
A Complete History of My Sexual Failures,6/29/2022,202,4426,Documental
A Day at the Races,3/24/2021,173,825,Comedia 
A Decade Under the Influence,9/21/2019,181,6111,Documental
A family affair,12/30/2023,143,337,Documental
A Fight For,10/30/2022,68,4183,Documental
A Fugitive from the Past,1/16/2021,124,6060,Crimen
A Get2Gether,2/18/2023,137,6588,Comedia 
A Glimpse Inside the Mind of Charles Swan III,5/16/2023,101,4348,Comedia 
A Hard Day's Night,8/15/2019,89,414,Comedia 
A Lady of Chance,8/15/2020,89,3269,Comedia 
A Lawless Street,1/22/2020,190,6416,Western
A League of Their Own,12/13/2018,126,2071,Comedia 
A Life Apart: Hasidism in America,1/13/2022,196,7331,Documental
A New Life,1/22/2019,144,3605,Comedia 
A Night in the Show,06/10/2020,131,9046,Comedia 
A Pain in the Ass,11/05/2019,89,2887,Comedia 
A Professional Gun,12/31/2021,123,5970,Western
A Short Film About John Bolton,9/25/2018,122,7068,Comedia 
A Shot in the Dark,02/10/2022,95,1549,Comedia 
A Simple Twist of Fate,04/10/2021,134,8991,Comedia 
A Spell to Ward Off the Darkness,1/14/2021,84,6983,Documental
A Stranger Among Us,5/19/2023,97,9361,Crimen
Abajo el amor,8/29/2022,109,568,Comedia 
About Face: Supermodels Then and Now,9/21/2019,90,2095,Documental
About Schmidt,05/12/2021,134,2969,Comedia 
Acadia Acadia?,12/14/2020,72,4187,Documental
"Acla, The Descent into Floristella ",06/08/2019,123,3263,Documental
Act Da Fool,7/31/2020,173,8036,Comedia 
Actress,8/20/2019,102,7772,Documental
Adam Resurrected,2/23/2021,187,9621,Comedia 
Admiral,4/20/2022,108,1562,Aventura
Adventure in Baltimore,05/07/2020,95,8672,Comedia 
Adventures of a Dentist,06/09/2020,68,4760,Comedia 
Afflicted,8/15/2020,195,5548,Terror
Africa: The Serengeti,8/24/2021,166,2059,Documental
After the Reconciliation ,09/07/2019,139,1706,Documental
Against the ice,03/11/2022,146,6572,Aventura
Agata and the Storm,09/03/2020,174,606,Comedia 
Air Hawks,7/30/2022,181,6847,Aventura
Al descubierto: El salon de la infamia,5/28/2020,202,52,Documental
Alan Partridge: Alpha Papa,10/01/2021,95,1672,Crimen
Alexandria... Why?,5/17/2023,185,5301,Comedia 
Alice in Wonderland,9/23/2022,171,4645,Aventura
Alive and Ticking,10/24/2020,186,41,Comedia 
All at Sea,10/11/2022,134,6525,Comedia 
All of Me,6/27/2020,201,1063,Comedia 
