Titulo,Estreno,Duracion,Ventas,Genero
2012,5/20/2019,136,9937,Accion
 Blood Wedding,6/19/2022,160,4514,Drama
 Ella Lola,6/30/2021,184,8642,Comedia 
 In Search of the Ravishing Princess Herzelinde,10/09/2019,65,499,Comedia 
 Pokemon Detective Pikachu,05/10/2023,103,7806,Ciencia Ficcion
 The Brandon Teena Story,3/23/2021,181,9973,Crimen
 The Court Jester,03/05/2019,209,8015,Accion
 The Dark,12/14/2022,95,2039,Drama
 The District,02/06/2023,189,2838,Ciencia Ficcion
 The Fountain,08/12/2021,95,2581,Drama
 The Living Room of the Nation,12/31/2019,187,4838,Drama
 The Mechanic,11/10/2021,60,7187,Accion
 The Silent Scream,08/10/2019,207,5687,Terror
 The Tattooed Widow,9/19/2018,110,1880,Crimen
 The Toast of New Orleans,7/25/2021,100,3387,Romance
 The Year of Living Vicariously,02/12/2019,108,6136,Comedia 
 Z Men,11/04/2021,61,5668,Terror
 Zombie 2: The Dead Are Among Us,03/09/2019,181,4410,Terror
[REC],9/22/2019,95,1974,Terror
[REC] 4: Apocalypse,6/14/2021,204,3020,Terror
¿Quién mato a santa?,2/22/2021,153,1700,Comedia 
10 000 timmar,2/25/2020,157,4724,Drama
10 cosas que odio de ti ,09/09/2019,102,6577,Comedia 
10 dias de un mal hombre,10/24/2021,104,6492,Comedia 
10 Items or Less,11/09/2018,61,4190,Drama
10 lives,10/07/2023,169,2337,Comedia 
100 Girls,12/20/2020,139,9850,Romance
101 Dalmatas,4/22/2023,117,4610,Comedia 
11 x 14,10/19/2020,63,8699,Comedia 
12 Angry Men,02/04/2019,125,331,Documental
12th & Delaware,8/23/2019,94,2684,Drama
14 Hours,2/13/2023,95,6697,Drama
1939: Hollywood's Greatest Year,9/13/2019,155,9784,Documental
"20,000 Days on Earth",2/13/2019,191,5908,Documental
200 M.P.H.,5/30/2020,78,4455,Accion
2010: The Year We Make Contact,12/16/2021,134,276,Accion
2019: After the Fall of New York,07/02/2020,183,9033,Ciencia Ficcion
21 Up,11/14/2019,112,3586,Documental
24: Redemption,3/23/2020,184,1364,Accion
28 Up,03/02/2019,184,5054,Documental
29 Palms,01/01/2021,205,1846,Drama
3 Backyards,04/05/2023,120,497,Drama
3 Extremes ,12/13/2019,157,5731,Terror
3 metros sobre el cielo,12/24/2020,198,1387,Drama
3 Ring Circus,03/03/2021,169,4199,Comedia 
3 Strikes,12/07/2022,153,171,Comedia 
30 Days of Night,10/04/2020,159,6591,Terror
35 Shots of Rum ,12/18/2022,95,3185,Drama
365 dias mas,08/07/2022,125,9823,Drama
3-Iron ,6/15/2021,203,8037,Romance
3rd World Hero ,06/08/2019,88,8633,Documental
4:44 Last Day on Earth,9/17/2018,128,7627,Ciencia Ficcion
42nd Street,02/04/2023,190,6859,Comedia 
44 Minutes: The North Hollywood Shoot-Out,12/31/2019,99,4588,Drama
44500 Max,06/02/2020,186,1663,Documental
47  Ronin,5/18/2021,70,1814,Accion
5 Broken Cameras,1/27/2022,153,8457,Documental
5 Centimeters per Second ,1/15/2020,91,9435,Romance
5 Dolls for an August Moon ,3/20/2023,137,8666,Terror
500 dias juntos,03/06/2009,134,8734,Comedia 
6 en la sombra,12/09/2019,62,3871,Accion
7 Below,4/14/2021,191,2388,Terror
7th Cavalry,11/19/2018,191,7926,Western
88 Minutes,9/28/2021,122,7871,Thriller
90 Minutes ,02/08/2019,93,9177,Thriller
A Beautiful Mind,5/23/2019,90,154,Drama
A Brief Vacation,12/08/2019,89,8049,Drama
A Bug's Life,01/09/2019,190,7317,Aventura
A Casa,11/06/2018,86,5440,Documental
A Christmas Carol,12/17/2020,122,7821,Drama
A Clockwork Orange,6/17/2022,195,3913,Ciencia Ficcion
A Complete History of My Sexual Failures,6/29/2022,202,4426,Documental
A Dark Truth,09/09/2021,106,142,Accion
A Day at the Races,3/24/2021,173,825,Comedia 
A Decade Under the Influence,9/21/2019,181,6111,Documental
A family affair,12/30/2023,143,337,Documental
A Fight For,10/30/2022,68,4183,Documental
A Fugitive from the Past,1/16/2021,124,6060,Crimen
A Get2Gether,2/18/2023,137,6588,Comedia 
A Glimpse Inside the Mind of Charles Swan III,5/16/2023,101,4348,Comedia 
A Good Marriage,12/11/2018,68,6116,Thriller
A Hard Day's Night,8/15/2019,89,414,Comedia 
A Lady of Chance,8/15/2020,89,3269,Comedia 
A Lady Takes a Chance,12/04/2019,64,3740,Romance
A Lawless Street,1/22/2020,190,6416,Western
A League of Their Own,12/13/2018,126,2071,Comedia 
A Life Apart: Hasidism in America,1/13/2022,196,7331,Documental
A Lizard in a Woman's Skin,4/21/2020,80,3571,Misterio
A Man Escaped,04/04/2019,76,6149,Drama
A Man for All Seasons,5/29/2022,110,7167,Drama
A Matter of Dignity,12/09/2021,173,2482,Drama
A Message to Garcia,7/25/2019,184,1507,Drama
A Modern Affair,12/29/2019,79,4714,Romance
A Moment to Remember,5/15/2020,85,3892,Romance
A Monkey's Tale,08/02/2020,173,6310,Animacion
A Monster in Paris,1/17/2020,144,6798,Animacion
A Most Wanted Man,09/08/2021,115,4511,Thriller
A New Life,1/22/2019,144,3605,Comedia 
A Night in the Show,06/10/2020,131,9046,Comedia 
A Pain in the Ass,11/05/2019,89,2887,Comedia 
A Phantasy,10/28/2021,89,4434,Drama
A plena Luz,5/15/2020,181,3549,Drama
A Prayer for the Dying,07/12/2021,181,8010,Accion
A Professional Gun,12/31/2021,123,5970,Western
A Promise,12/27/2019,134,516,Drama
A Pure Formality,01/11/2022,97,1087,Drama
A Scene at the Sea,9/17/2019,69,6404,Drama
A Screaming Man,8/28/2022,119,6481,Drama
A Short Film About John Bolton,9/25/2018,122,7068,Comedia 
A Shot in the Dark,02/10/2022,95,1549,Comedia 
A Simple Twist of Fate,04/10/2021,134,8991,Comedia 
A Soldier's Sweetheart,7/17/2023,71,8585,Drama
A Spell to Ward Off the Darkness,1/14/2021,84,6983,Documental
A Star Is Born,8/26/2020,127,7049,Drama
A Stranger Among Us,5/19/2023,97,9361,Crimen
A Talking Picture,02/04/2020,194,4108,Drama
A traves de mi ventana,11/14/2022,95,6064,Drama
A traves del mar,2/22/2020,125,9854,Drama
A Wednesday,10/12/2020,117,6296,Thriller
A Woman of Paris,11/16/2020,95,7304,Drama
A.I. Artificial Intelligence,09/06/2022,161,8985,Ciencia Ficcion
Abajo el amor,8/29/2022,109,568,Comedia 
Abandonados,01/11/2021,181,4824,Thriller
About Alex,03/02/2023,157,5676,Drama
About Face: Supermodels Then and Now,9/21/2019,90,2095,Documental
About Schmidt,05/12/2021,134,2969,Comedia 
Above Suspicion,5/13/2021,183,1336,Thriller
Abraham,12/03/2018,75,4845,Drama
Abraham Lincoln: Vampire Hunter,4/15/2023,85,7142,Accion
Acadia Acadia?,12/14/2020,72,4187,Documental
Accattone,08/07/2019,194,2828,Drama
Accident ,9/17/2021,121,572,Drama
Accused,8/14/2021,86,1061,Drama
Ace Attorney ,6/27/2021,183,7627,Animacion
"Acla, The Descent into Floristella ",06/08/2019,123,3263,Documental
Across the Tracks,12/14/2021,178,7205,Drama
Act Da Fool,7/31/2020,173,8036,Comedia 
Act of Aggression,05/04/2022,184,7713,Accion
Act of Violence,02/07/2021,89,3872,Drama
Action in the North Atlantic,03/04/2019,110,3869,Accion
Actor's Revenge,8/31/2021,140,5915,Drama
Actress,8/20/2019,102,7772,Documental
Adalynn,02/06/2019,170,9021,Drama
Adam Resurrected,2/23/2021,187,9621,Comedia 
Adanggaman,3/19/2022,184,5867,Drama
Admiral,4/20/2022,108,1562,Aventura
Adventure in Baltimore,05/07/2020,95,8672,Comedia 
Adventures in Zambezia,03/03/2019,181,7900,Animacion
Adventures of a Dentist,06/09/2020,68,4760,Comedia 
Adventures of Sharkboy and Lavagirl 3-D,08/08/2022,206,9376,Accion
Adventures of Tarzan,7/26/2020,117,4996,Accion
Advise and Consent,5/28/2020,107,5149,Drama
Aelita: The Queen of Mars ,3/17/2021,121,3121,Ciencia Ficcion
Afflicted,8/15/2020,195,5548,Terror
Africa: The Serengeti,8/24/2021,166,2059,Documental
After Amor Infinito,07/09/2022,183,4507,Drama
After Life ,3/26/2019,180,8885,Drama
After the Life,12/17/2018,248,6798,Drama
After the Reconciliation ,09/07/2019,139,1706,Documental
Aftermath,12/05/2018,183,4896,Ciencia Ficcion
Against the Dark,6/25/2022,153,4109,Accion
Against the ice,03/11/2022,146,6572,Aventura
Agata and the Storm,09/03/2020,174,606,Comedia 
Age of Consent,9/23/2020,117,1560,Drama
Age of Innocence,3/15/2021,194,5837,Drama
Agente Stone,11/11/2019,173,3606,Accion
Agnes of God,08/09/2020,161,3351,Drama
Air Hawks,7/30/2022,181,6847,Aventura
Airport 77,7/18/2019,191,1553,Accion
Al descubierto: El salon de la infamia,5/28/2020,202,52,Documental
Aladdin,8/26/1992,68,2202,Animacion
Alan Partridge: Alpha Papa,10/01/2021,95,1672,Crimen
Albino Alligator,1/28/2020,98,6467,Accion
Alexander,4/15/2020,125,7841,Drama
Alexander Nevsky ,06/07/2020,157,8139,Drama
Alexandria... Why?,5/17/2023,185,5301,Comedia 
Algo pasa con Mary,3/28/1998,130,997,Drama
Ali: Fear Eats the Soul ,6/19/2021,134,1803,Accion
